,x,y,thickness,snr,mask,smb,surf_temp,base_temp,vx,vy,v,snr_pred,snr_pred_std
4837,945500,446000,3261.6877,,2,30.879879,237.16200638589248,269.257568359375,1.0095328,-1.183573,1.5556355,85.77172897788091,14.496628489357878
183,2215500,386000,1772.5819,,2,156.6908,259.43238106150545,271.66741943359375,19.654448,26.305574,32.83718,64.37962262724407,14.40210866451037
8414,2125500,61000,2755.333,,2,145.17393,246.70588866522507,270.9056396484375,7.212475,3.4727347,8.004978,78.61078442102799,14.525999322957395
9367,170500,1296000,2833.9844,,2,44.354828,243.822480438285,270.84576416015625,-8.784683,-4.9909306,10.103467,79.62969625273153,14.620705156833363
9749,1695500,1021000,1833.4119,,2,88.51427,248.24153365670912,268.7373352050781,4.4886813,-8.981357,10.040569,62.76462033229971,14.438884891367866
9168,2170500,1046000,991.0652,,2,191.29533,262.72762733627,272.28643798828125,17.137373,6.858353,18.45878,54.16197213690118,14.375864664300526
243,-2339500,1101000,551.4799,,2,2919.5046,268.9158810706682,267.1318664550781,-0.739596,-13.173091,13.193836,32.82355218897726,14.473084718460438
1372,495500,-1644000,628.3008,,2,166.1232,250.1816624451638,258.6231994628906,-141.9431,55.226677,152.30833,31.12245087949502,14.381316502701088
7244,565500,-89000,3169.4387,,2,31.903728,239.56731089415499,270.4218444824219,-4.4852123,-3.5739899,5.735027,84.40578557889312,14.659749123941562
2896,-149500,-49000,2826.539,,2,91.423,242.14230506422786,270.3909912109375,0.0,0.0,0.0,85.89767724084679,14.561763429146382
32,-2124500,581000,218.55511,,2,1452.1663,269.4370265101334,271.1499938964844,-0.7128819,17.071886,17.086763,37.23646121301216,14.429443796236695
2285,315500,1206000,2941.5684,,2,38.672455,242.18890779069224,270.7480163574219,-4.181114,-0.6965935,4.238745,81.99641469961001,14.259194122880647
3516,1880500,781000,59.805096,,2,64.777374,259.83314902646555,262.2391052246094,19.15361,-19.407421,27.267357,28.423418047848166,14.587422777766863
6128,1010500,-1009000,2689.928,64.176,2,26.001171,241.16929896965894,270.70849609375,-5.486497,-0.68054533,5.5285435,78.49060956274131,14.391544686642874
9549,1680500,1386000,2178.2246,,2,128.29808,250.89285720932997,271.25933837890625,2.9490256,8.717122,9.202444,70.73937797060246,14.463558042763154
1714,-1699500,371000,759.3525,,2,1081.019,262.2831983451872,269.12823486328125,-15.654514,14.989097,21.673412,43.83628374358246,14.520742618093465
7749,1090500,-1114000,3526.9329,,2,28.522972,240.8710260376537,270.1455383300781,-4.724307,-1.2358855,4.8832865,90.146161930463,14.539063031147654
9470,-824500,-754000,1446.9989,,2,102.77683,260.3607197587822,271.68707275390625,8.753509,-11.917376,14.786742,60.07998625346178,14.60785888295187
6020,-994500,-319000,3637.6165,,2,212.66771,253.39028338618482,270.2350769042969,4.169864,1.3537847,4.384119,91.09865837347473,14.206418346831699
2202,940500,-1899000,2377.604,,2,236.03783,253.9244342376866,271.39581298828125,11.351524,-18.094109,21.3601,73.46853653018923,14.594854803491634
2359,820500,836000,3258.2712,,2,24.75898,236.58334296343224,270.0511779785156,0.042384356,-0.50690144,0.50867033,87.05864251511596,14.767872010624188
8182,-884500,-129000,2533.1704,,2,135.86201,250.77015733981835,271.4674377441406,-1.2801151,-0.9573843,1.5985242,77.59955111713218,14.43410298661853
